iter	RMSE
0	0.9810591469
1	0.9625861175
2	0.9446899155
3	0.9269589368
4	0.9100839469
5	0.8938102467
6	0.8780278195
7	0.8626784708
8	0.848083824
9	0.8337011295
10	0.8194406027
11	0.8059833349
12	0.7930209849
13	0.780073473
14	0.7678905708
15	0.7557568702
16	0.7440457976
17	0.7326830847
18	0.7221250529
19	0.7115211531
20	0.7016164125
21	0.6916818387
22	0.6821093679
23	0.6728406266
24	0.6642995017
25	0.6561251755
26	0.6477880163
27	0.6401073846
28	0.6327432711
29	0.625590327
30	0.6188150486
31	0.6112462831
32	0.6048657856
33	0.5978362569
34	0.5920985183
35	0.5864948419
36	0.5800971501
37	0.5739711142
38	0.5681003102
39	0.563337516
40	0.558468871
41	0.5531873761
42	0.5481219773
43	0.543895785
44	0.5399484229
45	0.5359489815
46	0.5317298582
47	0.528077308
48	0.5246865604
49	0.521310908
50	0.518190804
51	0.5152114741
52	0.5122568927
53	0.5087497862
54	0.5060940629
55	0.5034279306
56	0.5004116681
57	0.4980472068
58	0.4957177356
59	0.4935568089
60	0.4914879196
61	0.489528893
62	0.4876355302
63	0.4857182603
64	0.4839656297
65	0.4821816266
66	0.4805008742
67	0.4787379874
68	0.4772507694
69	0.4757661063
70	0.4740862529
71	0.4726568946
72	0.4711884032
73	0.4694585612
74	0.4681730516
75	0.4668844618
76	0.4657430399
77	0.4645910849
78	0.4634465854
79	0.4625178333
80	0.4615076418
81	0.4598693137
82	0.4578276466
83	0.4563822582
84	0.4555213683
85	0.4546558979
86	0.4539218197
87	0.4529220224
88	0.4522533214
89	0.4516230811
90	0.4508525165
91	0.4497304113
92	0.4480598268
93	0.4474029801
94	0.4462075276
95	0.4456579397
96	0.445095612
97	0.4440191252
98	0.4435785775
99	0.4431345029
100	0.4422544049
101	0.4418225198
102	0.4414402969
103	0.4406834853
104	0.4395163249
105	0.4391362511
106	0.4387762198
107	0.4379539958
108	0.4375322956
109	0.4371973772
110	0.4364985908
111	0.4360288153
112	0.4357467201
113	0.4354865297
114	0.4348408983
115	0.4341294292
116	0.4338617444
117	0.4334869448
118	0.4329043659
119	0.4326151845
120	0.4322552873
121	0.4311638996
122	0.4309614915
123	0.430695396
124	0.4304908463
125	0.4296282648
126	0.4292368027
127	0.4289779224
128	0.428443305
129	0.4276628792
130	0.4272729057
131	0.4270562026
132	0.4268112871
133	0.4263877973
134	0.4259896752
135	0.4258029663
136	0.4252690712
137	0.4250169313
138	0.4243420493
139	0.4238651142
140	0.423256075
141	0.4229521693
142	0.4227890546
143	0.422505643
144	0.4223404278
145	0.4219746175
146	0.4212438805
147	0.4205574323
148	0.4202073218
149	0.4197416639
150	0.4192037093
151	0.4189613825
152	0.4188271498
153	0.4186800607
154	0.4184807495
155	0.418257856
156	0.4179778548
157	0.4176350842
158	0.4174083106
159	0.4172159391
160	0.4168478492
161	0.4167287663
162	0.4164546537
163	0.416289599
164	0.4160791464
165	0.4158054117
166	0.4156035739
167	0.4154585284
168	0.4150638098
169	0.4147344414
170	0.4144879575
171	0.4141073739
172	0.4139217213
173	0.4137559217
174	0.4134720007
175	0.4132380339
176	0.4130646187
177	0.4127938068
178	0.4126493324
179	0.412558947
180	0.4123168193
181	0.4122115371
182	0.4120544102
183	0.4119477074
184	0.4117048749
185	0.411571593
186	0.4113774877
187	0.411186365
188	0.41107897
189	0.4109062221
190	0.4107765091
191	0.4106055765
192	0.4104612546
193	0.4101603
194	0.4097999533
195	0.4096294585
196	0.4093893903
197	0.4092910697
198	0.4090469264
199	0.4087504078
200	0.4086216517
201	0.4084417107
202	0.408140522
203	0.4080545791
204	0.4078109758
205	0.4075839125
206	0.4072989995
207	0.4069479151
208	0.4066722944
209	0.4065337321
210	0.406283994
211	0.4061357119
212	0.4060347368
213	0.40585066
214	0.4054662808
215	0.4050502503
216	0.4048545623
217	0.4047008722
218	0.4043267541
219	0.4040354287
220	0.4038838469
221	0.4036997323
222	0.4035613314
223	0.4033924357
224	0.4032753031
225	0.4030704748
226	0.4029748419
227	0.4029133483
228	0.4027236146
229	0.4025429888
230	0.4024514489
231	0.4023394478
232	0.4021843272
233	0.4019925756
234	0.4017378466
235	0.4015870402
236	0.4013957026
237	0.4012556779
238	0.4009979401
239	0.4008585609
240	0.4006240419
241	0.4004612318
242	0.4001129935
243	0.3999853306
244	0.3998094119
245	0.3995616929
246	0.3991980779
247	0.3988626812
248	0.3986696551
249	0.3984308077
250	0.3982689742
251	0.3980039048
252	0.3977923225
253	0.3975490172
254	0.3973132258
255	0.3970783903
256	0.3968677574
257	0.3966828235
258	0.3964072164
259	0.3960582765
260	0.3958168354
261	0.395556317
262	0.3954591096
263	0.3950264017
264	0.3949251007
265	0.394826266
266	0.394628503
267	0.3945501952
268	0.3942888247
269	0.394169883
270	0.3938658427
271	0.393605923
272	0.3935087715
273	0.3934183444
274	0.393226736
275	0.3931361037
276	0.3930489476
277	0.3928863139
278	0.3926721431
279	0.3925275377
280	0.3922860329
281	0.3920502507
282	0.3918699322
283	0.3917114813
284	0.3914944886
285	0.3913848739
286	0.3912544423
287	0.3910988474
288	0.3909716386
289	0.3908551902
290	0.3907270838
291	0.3905733727
292	0.3904027694
293	0.3902777188
294	0.3901468784
295	0.3900099127
296	0.3898608571
297	0.389493032
298	0.3892677553
299	0.3891474105
300	0.3889734558
301	0.3886871837
302	0.3885116559
303	0.3883491769
304	0.3881707124
305	0.3879133447
306	0.3877765205
307	0.3876290237
308	0.3874704192
309	0.3872451283
310	0.3871468703
311	0.3870429534
312	0.3868488997
313	0.3866819708
314	0.3863876678
315	0.3861542224
316	0.3860778812
317	0.385889538
318	0.3856752068
319	0.3854418644
320	0.3853440734
321	0.3852939086
322	0.3850826617
323	0.384962814
324	0.384796626
325	0.384645441
326	0.3843680726
327	0.3842341154
328	0.3841122425
329	0.3839152917
330	0.3837619203
331	0.3835351991
332	0.3834303241
333	0.3831903174
334	0.3828770949
335	0.3827755679
336	0.3826422068
337	0.3824826778
338	0.3823392936
339	0.382181266
340	0.3820541419
341	0.3819575118
342	0.3817453761
343	0.381521504
344	0.3814123078
345	0.381292947
346	0.3810262998
347	0.3808363893
348	0.3807113123
349	0.3804480674
350	0.3803204493
351	0.3800225099
352	0.379811406
353	0.3797249828
354	0.3795256463
355	0.3793078474
356	0.379208007
357	0.3789500739
358	0.3787848797
359	0.37867187
360	0.3784678601
361	0.3783981708
362	0.3782104807
363	0.378127775
364	0.3778945402
365	0.3776454601
366	0.377538452
367	0.3772777137
368	0.3770804588
369	0.3768656534
370	0.3766823334
371	0.3765014206
372	0.3763392529
373	0.376212293
374	0.376106054
375	0.3759718094
376	0.3757760902
377	0.3755868743
378	0.3754068839
379	0.3752641456
380	0.3750649968
381	0.3749476328
382	0.3747593943
383	0.3745609161
384	0.3744185894
385	0.3742824267
386	0.3741533499
387	0.3740050197
388	0.3739004748
389	0.3737958739
390	0.3735596117
391	0.3732909805
392	0.373168779
393	0.3728970125
394	0.3727230499
395	0.3725868759
396	0.3725219574
397	0.372477851
398	0.3724063048
399	0.3722691749
400	0.3720754194
401	0.3718944128
402	0.3717875602
403	0.3716065351
404	0.3715149463
405	0.3713843696
406	0.3711810912
407	0.370979258
408	0.3707245717
409	0.3706136109
410	0.3704684796
411	0.3703751611
412	0.3702359638
413	0.3698796012
414	0.3697800522
415	0.3695434804
416	0.3693108504
417	0.3691398993
418	0.3690280768
419	0.3689242325
420	0.3688537474
421	0.3687653808
422	0.3686794606
423	0.3685764948
424	0.3685394692
425	0.3684432529
426	0.3682286994
427	0.3680937858
428	0.3679483359
429	0.3677184837
430	0.3675683353
431	0.3674656675
432	0.3672816983
433	0.3670564598
434	0.3669031265
435	0.3667166232
436	0.3666337497
437	0.3665541937
438	0.3664646048
439	0.3663253505
440	0.3659947878
441	0.3658436083
442	0.3657084227
443	0.3655659147
