iter	Passed	Remaining
0	14	9650
1	33	10915
2	47	10376
3	63	10354
4	81	10591
5	101	10918
6	117	10896
7	133	10814
8	151	10858
9	169	10936
10	184	10811
11	202	10821
12	223	11024
13	240	11014
14	257	10984
15	274	10954
16	291	10923
17	306	10841
18	323	10795
19	338	10741
20	356	10738
21	372	10694
22	389	10684
23	406	10670
24	422	10632
25	438	10600
26	453	10528
27	468	10482
28	483	10422
29	496	10329
30	511	10271
31	525	10211
32	538	10128
33	554	10113
34	567	10040
35	581	9977
36	596	9939
37	609	9885
38	624	9845
39	638	9798
40	652	9748
41	665	9694
42	679	9649
43	693	9617
44	709	9595
45	725	9587
46	738	9543
47	753	9510
48	768	9490
49	784	9476
50	798	9445
51	812	9411
52	826	9373
53	840	9333
54	855	9314
55	873	9326
56	893	9361
57	909	9343
58	926	9344
59	943	9341
60	959	9332
61	974	9306
62	987	9267
63	1002	9238
64	1017	9219
65	1032	9195
66	1046	9164
67	1060	9141
68	1075	9119
69	1089	9092
70	1105	9081
71	1121	9069
72	1137	9050
73	1151	9024
74	1165	8994
75	1179	8970
76	1196	8963
77	1209	8930
78	1223	8905
79	1238	8886
80	1252	8860
81	1267	8844
82	1281	8813
83	1295	8787
84	1311	8782
85	1334	8815
86	1350	8798
87	1364	8776
88	1377	8745
89	1391	8722
90	1406	8699
91	1420	8674
92	1432	8643
93	1446	8614
94	1458	8583
95	1473	8562
96	1488	8546
97	1503	8528
98	1518	8510
99	1535	8504
100	1549	8482
101	1565	8470
102	1577	8440
103	1591	8416
104	1605	8396
105	1620	8376
106	1634	8353
107	1648	8333
108	1663	8315
109	1678	8302
110	1693	8283
111	1707	8261
112	1721	8241
113	1736	8227
114	1753	8220
115	1769	8207
116	1782	8183
117	1798	8169
118	1813	8155
119	1828	8136
120	1842	8114
121	1856	8093
122	1870	8073
123	1884	8056
124	1898	8033
125	1913	8019
126	1927	7999
127	1942	7980
128	1955	7959
129	1968	7936
130	1984	7922
131	1997	7897
132	2015	7895
133	2032	7888
134	2048	7876
135	2065	7867
